"X1986"	"X1987"	"X1988"	"X1989"	"X1990"	"X1991"	"X1992"	"X1993"	"X1994"	"X1995"	"X1996"	"X1997"	"X1998"	"X1999"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"
"78"	-34.1	-32.6	NA	NA	-34.9	-32.3	-28.11	-35.98	-29.88	NA	NA	-25.66	-31.46	-26.21	-32.82	-29.66	-22.11	-27.65	-34.47	-26.46	-31.6	-28.49
"79"	-36.1	-34.5	NA	NA	-33.8	-31	-27.12	-36.09	-30.49	NA	NA	-26.35	-29.39	-27.85	-32.31	-29.98	-27.91	-27.99	-34.84	-28.82	-31.9	-27.39
"80"	-36.8	-33.3	NA	NA	-31.9	-27.3	-28.28	-36.24	-30.21	NA	NA	-24.25	-31.57	-30.97	-30.25	-32.6	-30.28	-26.45	-33.52	-29.06	-32.83	-28.83
"81"	-35.6	-33.5	NA	NA	-30.9	-28.1	-29.82	-32.58	-28.03	NA	NA	-23.91	-32.96	-33.52	-23.65	-34.15	-30.45	-30.78	-30.76	-30.07	-28.95	-27.87
"82"	-38	-30.9	NA	NA	-33.1	-31.5	-31.68	-29.12	-27.76	NA	NA	-23.17	-31.31	-32.84	-23.32	-35.94	-29.64	-31.92	-31.26	-34.49	-23.65	-28.35
"83"	-35.7	-29.5	NA	NA	-32	-31.4	-31.61	-25.14	-29.35	NA	NA	-30.54	-28.33	-33.29	-22.16	-36.39	-31.52	-32.21	-33.24	-33.42	-16.23	-23.92
"84"	-34.1	-28.2	NA	NA	-31.4	-32.2	-30.57	-24.14	-30.07	NA	NA	-31.68	-27.11	-33.24	-23.69	-35.62	-31.71	-33.72	-31.95	-32.46	-21.76	-24
"85"	-35.9	-27	NA	NA	-30.8	-25.8	-29.32	-25.93	-30.41	NA	NA	-31.71	-27.47	-34.43	-23.85	-33.39	-31.38	-35.59	-30.34	-30.96	-22.52	-24.13
"86"	-36.4	-28	NA	NA	-21.6	-26.2	-30.96	-28.76	-31.45	NA	NA	-32.36	-26.74	-34.24	-25.48	-29.18	-31.05	-34.48	-29.27	-28.51	-18.92	-25.15
"87"	-36	-27.3	NA	NA	-18.2	-27.6	-31.82	-28.29	-30.19	NA	NA	-32.45	-23.12	-34	-28.75	-27.66	-28.24	-31.53	-28.63	-25.37	-21.37	-24.54
"88"	-32.2	-29.4	NA	NA	-25.4	-23.9	-33.99	-27.88	-30.98	NA	NA	-32.63	-22.06	-33.37	-28.27	-25.62	-26.44	-33.73	-27.39	-24.32	-22.62	-23.07
"89"	-28.7	-30.1	NA	NA	-26	-28	-34.27	-27.89	-29.25	NA	NA	-32.77	-22.91	-30.09	-30.18	-22.68	-27.93	-32.95	-28.5	-21.88	-22.97	-26.49
"90"	-27.3	-31.6	NA	NA	-26	-28.9	-32.68	-23.27	-29.37	NA	NA	-29.81	-24.82	-29.67	-23.66	-24.67	-31.12	-31.58	-28.13	-17.64	-23.07	-27.68
"91"	-29	-31.8	NA	NA	-27.1	-28.1	-31.3	-23.49	-28.98	NA	NA	-31.25	-22.98	-28.45	-21.3	-26.92	-32.52	-31.31	-29.42	-16.68	-21.63	-25.67
"92"	-31.4	-30.5	NA	NA	-20.1	-27.4	-31.93	-26.3	-27.08	NA	NA	-32.26	-21.14	-27.17	-17.8	-27.77	-33.75	-29.85	-30.17	-15.76	-20.68	-24.74
"93"	-28.9	-29.6	NA	NA	-18.4	-25.6	-31.91	-24.23	-21.9	NA	NA	-33.04	-23.27	-27.92	-20.74	-23.51	-33.5	-28.83	-26.4	-16.8	-19.46	-24.8
"94"	-28.4	-29.4	NA	NA	-20.1	-26.7	-31.09	-23.44	-19.32	NA	NA	-31.52	-25.13	-26.38	-20.76	-26.37	-31.59	-29.83	-22.53	-21.33	-23.5	-22.4
"95"	-33	-29.2	NA	NA	-21.8	-28.6	-24.94	-15.99	-21.76	NA	NA	-31.33	-24.5	-25.15	-22.96	-30.13	-29.71	-28.86	-23.93	-25.9	-24.19	-22.14
"96"	-28.4	-26.6	NA	NA	-22	-29.3	-23.35	-15.38	-24.22	NA	NA	-30.66	-24.61	-25.24	-23.95	-30.98	-27.26	-26.6	-26.23	-27.87	-23.06	-19.55
"97"	-26.8	-26.9	NA	NA	-18.3	-27.1	-25.94	-16.14	-23.98	NA	NA	-30.01	-22.25	-27.56	-25.86	-33.11	-27.95	-23.89	-25.65	-28.59	-25.34	-18.71
"98"	-23.8	-28.2	NA	NA	-20.8	-27.9	-21.38	-20.02	-25.48	NA	NA	-29.14	-19.36	-27.51	-26.31	-31.92	-27.35	-24.56	-27.01	-26.72	-25.11	-15.34
"99"	-21.9	-28.4	NA	NA	-8.79	-27.4	-19.06	-16.87	-24.96	NA	NA	-25.11	-19.06	-27.75	-26.4	-29.16	-27.04	-25.37	-27.44	-23.83	-25.52	-10.65
"100"	-26.9	-28.2	NA	NA	-10.4	-28.1	-18.94	-17.16	-25.64	NA	NA	-23.41	-16.56	-27.39	-26.81	-28.38	-29.03	-27.26	-26.76	-22.22	-24.75	-12.61
"101"	-22	-27.9	NA	NA	-13.6	-25.8	-25.44	-20.13	-25.56	NA	NA	-24.86	-12.23	-26.79	-24.92	-26.69	-27.59	-27.85	-25.71	-23.93	-23.97	-17.8
"102"	-20.6	-26	NA	NA	-20.4	-28.6	-26.71	-19.89	-25.26	NA	NA	-25.59	-13.56	-23.6	-21.83	-25.72	-27.49	-25.83	-25.49	-23.28	-23.25	-21.19
"103"	-20.7	-28.8	NA	NA	-21.5	-28.1	-25.87	-21.36	-25.16	NA	NA	-24.22	-15.48	-20.5	-19.4	-25.32	-28.43	-24.41	-21.09	-24.04	-20.62	-22.56
"104"	-24.5	-27.3	NA	NA	-22.9	-26.8	-24.28	-20.63	-24.76	NA	NA	-21.57	-14.23	-22.76	-20.37	-25.01	-28.56	-23.51	-21.45	-30.57	-21.37	-18.4
"105"	-23.2	-26.6	NA	NA	-22	-23.5	-24.65	-21.52	-24.71	NA	NA	-17.54	-14.59	-20.32	-19.65	-22.51	-27.96	-22.44	-23.23	NA	-20.93	-14.25
"106"	-25.9	-28	NA	NA	-21.3	-23.2	-20.24	-21.63	-22.83	NA	NA	-16.1	-18.97	-20.08	-21.86	-20.96	-25.36	-22.45	-22.44	NA	-21.68	-18.7
"107"	-25.2	-26.9	NA	NA	-22.1	-23	-21.87	-20.86	-23.39	NA	NA	-17.53	-20.71	-21.81	-23.81	-21.12	-25.97	-22.07	-21	NA	-22.87	-14.71
"108"	-22.4	-28.9	NA	NA	-21	-23.6	-22.3	-20.86	-23.3	NA	NA	-16.67	-21.47	-17.98	-23.4	-21.08	-26.16	-20.16	-21.78	NA	-24.73	-13.37
"109"	-25.2	-26.4	NA	NA	-23.9	-21.9	-23.25	-19.04	-20.38	NA	NA	-9.5	-24.23	-15.99	-21.45	-21.31	-25.16	-19.94	-18.88	NA	-22.29	-12.56
"110"	-24	-24.3	NA	NA	-20.7	-22	-23.5	-17.67	-17.4	NA	NA	-14.16	-20.95	-21.84	-19.16	-20.77	-25.41	-20.71	-17.88	NA	-19.95	-5.67
"111"	-18.9	-23.7	NA	NA	-20.2	-20.2	-23.86	-14.84	-12.46	NA	NA	-11.87	-18.38	-22.32	-18.86	-20.08	-24.56	-21.4	-17.86	NA	-20.3	-6.792
"112"	-19.7	-24.6	NA	NA	-20.4	-19.7	-22.9	-13.33	-9.35	NA	NA	-10.23	-20.37	-23.07	-18.96	-18.09	-23.77	-20.76	-16.15	NA	-17.83	-8.6
